Second of the Day,Power Produced,Time of Day
394,0.0,00:06:34
395,0.0,00:06:35
396,0.0,00:06:36
397,0.0,00:06:37
398,0.0,00:06:38
399,0.0,00:06:39
400,0.0,00:06:40
401,0.0,00:06:41
402,0.0,00:06:42
403,0.0,00:06:43
404,0.0,00:06:44
405,0.0,00:06:45
406,0.0,00:06:46
407,0.0,00:06:47
408,0.0,00:06:48
409,0.0,00:06:49
410,0.0,00:06:50
411,0.0,00:06:51
412,0.0,00:06:52
413,0.0,00:06:53
414,0.0,00:06:54
415,0.0,00:06:55
416,0.0,00:06:56
417,0.0,00:06:57
418,0.0,00:06:58
419,0.0,00:06:59
420,0.0,00:07:00
421,0.0,00:07:01
422,0.0,00:07:02
423,0.0,00:07:03
424,0.0,00:07:04
425,0.0,00:07:05
426,0.0,00:07:06
427,0.0,00:07:07
428,0.0,00:07:08
429,0.0,00:07:09
430,0.0,00:07:10
431,0.0,00:07:11
432,0.0,00:07:12
433,0.0,00:07:13
434,0.0,00:07:14
435,0.0,00:07:15
436,0.0,00:07:16
437,0.0,00:07:17
438,0.0,00:07:18
439,0.0,00:07:19
440,0.0,00:07:20
441,0.0,00:07:21
442,0.0,00:07:22
443,0.0,00:07:23
444,0.0,00:07:24
445,0.0,00:07:25
446,0.0,00:07:26
447,0.0,00:07:27
448,0.0,00:07:28
449,0.0,00:07:29
450,0.0,00:07:30
451,0.0,00:07:31
452,0.0,00:07:32
453,0.0,00:07:33
454,0.0,00:07:34
455,0.0,00:07:35
456,0.0,00:07:36
457,0.0,00:07:37
458,0.0,00:07:38
459,0.0,00:07:39
460,0.0,00:07:40
461,0.0,00:07:41
462,0.0,00:07:42
463,0.0,00:07:43
464,0.0,00:07:44
465,0.0,00:07:45
466,0.0,00:07:46
467,0.0,00:07:47
468,0.0,00:07:48
469,0.0,00:07:49
470,0.0,00:07:50
471,0.0,00:07:51
472,0.0,00:07:52
473,0.0,00:07:53
474,0.0,00:07:54
475,0.0,00:07:55
476,0.0,00:07:56
477,0.0,00:07:57
478,0.0,00:07:58
479,0.0,00:07:59
480,0.0,00:08:00
481,0.0,00:08:01
482,0.0,00:08:02
483,0.0,00:08:03
484,0.0,00:08:04
485,0.0,00:08:05
486,0.0,00:08:06
487,0.0,00:08:07
488,0.0,00:08:08
489,0.0,00:08:09
490,0.0,00:08:10
491,0.0,00:08:11
492,0.0,00:08:12
493,0.0,00:08:13
494,0.0,00:08:14
495,0.0,00:08:15
496,0.0,00:08:16
497,0.0,00:08:17
498,0.0,00:08:18
499,0.0,00:08:19
500,0.0,00:08:20
501,0.0,00:08:21
502,0.0,00:08:22
503,0.0,00:08:23
504,0.0,00:08:24
505,0.0,00:08:25
506,0.0,00:08:26
507,0.0,00:08:27
508,0.0,00:08:28
509,0.0,00:08:29
510,0.0,00:08:30
511,0.0,00:08:31
512,0.0,00:08:32
513,0.0,00:08:33
514,0.0,00:08:34
515,0.0,00:08:35
516,0.0,00:08:36
517,0.0,00:08:37
518,0.0,00:08:38
519,0.0,00:08:39
520,0.0,00:08:40
521,0.0,00:08:41
522,0.0,00:08:42
523,0.0,00:08:43
524,0.0,00:08:44
525,0.0,00:08:45
526,0.0,00:08:46
527,0.0,00:08:47
528,0.0,00:08:48
529,0.0,00:08:49
530,0.0,00:08:50
531,0.0,00:08:51
532,0.0,00:08:52
533,0.0,00:08:53
534,0.0,00:08:54
535,0.0,00:08:55
536,0.0,00:08:56
537,0.0,00:08:57
538,0.0,00:08:58
539,0.0,00:08:59
540,0.0,00:09:00
541,0.0,00:09:01
542,0.0,00:09:02
543,0.0,00:09:03
544,0.0,00:09:04
545,0.0,00:09:05
546,0.0,00:09:06
547,0.0,00:09:07
548,0.0,00:09:08
549,0.0,00:09:09
550,0.0,00:09:10
551,0.0,00:09:11
552,0.0,00:09:12
553,0.0,00:09:13
554,0.0,00:09:14
555,0.0,00:09:15
556,0.0,00:09:16
557,0.0,00:09:17
558,0.0,00:09:18
559,0.0,00:09:19
560,0.0,00:09:20
561,0.0,00:09:21
562,0.0,00:09:22
563,0.0,00:09:23
564,0.0,00:09:24
565,0.0,00:09:25
566,0.0,00:09:26
567,0.0,00:09:27
568,0.0,00:09:28
569,0.0,00:09:29
570,0.0,00:09:30
571,0.0,00:09:31
572,0.0,00:09:32
573,0.0,00:09:33
574,0.0,00:09:34
575,0.0,00:09:35
576,0.0,00:09:36
577,0.0,00:09:37
578,0.0,00:09:38
579,0.0,00:09:39
580,0.0,00:09:40
581,0.0,00:09:41
582,0.0,00:09:42
583,0.0,00:09:43
584,0.0,00:09:44
585,0.0,00:09:45
586,0.0,00:09:46
587,0.0,00:09:47
588,0.0,00:09:48
589,0.0,00:09:49
590,0.0,00:09:50
591,0.0,00:09:51
592,0.0,00:09:52
593,0.0,00:09:53
594,0.0,00:09:54
595,0.0,00:09:55
596,0.0,00:09:56
597,0.0,00:09:57
598,0.0,00:09:58
599,0.0,00:09:59
600,0.0,00:10:00
601,0.0,00:10:01
602,0.0,00:10:02
603,0.0,00:10:03
604,0.0,00:10:04
605,0.0,00:10:05
606,0.0,00:10:06
607,0.0,00:10:07
608,0.0,00:10:08
609,0.0,00:10:09
610,0.0,00:10:10
611,0.0,00:10:11
612,0.0,00:10:12
613,0.0,00:10:13
614,0.0,00:10:14
615,0.0,00:10:15
616,0.0,00:10:16
617,0.0,00:10:17
618,0.0,00:10:18
619,0.0,00:10:19
620,0.0,00:10:20
621,0.0,00:10:21
622,0.0,00:10:22
623,0.0,00:10:23
624,0.0,00:10:24
625,0.0,00:10:25
626,0.0,00:10:26
627,0.0,00:10:27
628,0.0,00:10:28
629,0.0,00:10:29
630,0.0,00:10:30
631,0.0,00:10:31
632,0.0,00:10:32
633,0.0,00:10:33
634,0.0,00:10:34
635,0.0,00:10:35
636,0.0,00:10:36
637,0.0,00:10:37
638,0.0,00:10:38
639,0.0,00:10:39
640,0.0,00:10:40
641,0.0,00:10:41
642,0.0,00:10:42
643,0.0,00:10:43
644,0.0,00:10:44
645,0.0,00:10:45
646,0.0,00:10:46
647,0.0,00:10:47
648,0.0,00:10:48
649,0.0,00:10:49
650,0.0,00:10:50
651,0.0,00:10:51
652,0.0,00:10:52
653,0.0,00:10:53
654,0.0,00:10:54
655,0.0,00:10:55
656,0.0,00:10:56
657,0.0,00:10:57
658,0.0,00:10:58
659,0.0,00:10:59
660,0.0,00:11:00
661,0.0,00:11:01
662,0.0,00:11:02
663,0.0,00:11:03
664,0.0,00:11:04
665,0.0,00:11:05
666,0.0,00:11:06
667,0.0,00:11:07
668,0.0,00:11:08
669,0.0,00:11:09
670,0.0,00:11:10
671,0.0,00:11:11
672,0.0,00:11:12
673,0.0,00:11:13
674,0.0,00:11:14
675,0.0,00:11:15
676,0.0,00:11:16
677,0.0,00:11:17
678,0.0,00:11:18
679,0.0,00:11:19
680,0.0,00:11:20
681,0.0,00:11:21
682,0.0,00:11:22
683,0.0,00:11:23
684,0.0,00:11:24
685,0.0,00:11:25
686,0.0,00:11:26
687,0.0,00:11:27
688,0.0,00:11:28
689,0.0,00:11:29
690,0.0,00:11:30
691,0.0,00:11:31
692,0.0,00:11:32
693,0.0,00:11:33
694,0.0,00:11:34
695,0.0,00:11:35
696,0.0,00:11:36
697,0.0,00:11:37
698,0.0,00:11:38
699,0.0,00:11:39
700,0.0,00:11:40
701,0.0,00:11:41
702,0.0,00:11:42
703,0.0,00:11:43
704,0.0,00:11:44
705,0.0,00:11:45
706,0.0,00:11:46
707,0.0,00:11:47
708,0.0,00:11:48
709,0.0,00:11:49
710,0.0,00:11:50
711,0.0,00:11:51
712,0.0,00:11:52
713,0.0,00:11:53
714,0.0,00:11:54
715,0.0,00:11:55
716,0.0,00:11:56
717,0.0,00:11:57
718,0.0,00:11:58
719,0.0,00:11:59
720,0.0,00:12:00
721,0.0,00:12:01
722,0.0,00:12:02
723,0.0,00:12:03
724,0.0,00:12:04
725,0.0,00:12:05
726,0.0,00:12:06
727,0.0,00:12:07
728,0.0,00:12:08
729,0.0,00:12:09
730,0.0,00:12:10
731,0.0,00:12:11
732,0.0,00:12:12
733,0.0,00:12:13
734,0.0,00:12:14
735,0.0,00:12:15
736,0.0,00:12:16
737,0.0,00:12:17
738,0.0,00:12:18
739,0.0,00:12:19
740,0.0,00:12:20
741,0.0,00:12:21
742,0.0,00:12:22
743,0.0,00:12:23
744,0.0,00:12:24
745,0.0,00:12:25
746,0.0,00:12:26
747,0.0,00:12:27
748,0.0,00:12:28
749,0.0,00:12:29
750,0.0,00:12:30
751,0.0,00:12:31
752,0.0,00:12:32
753,0.0,00:12:33
754,0.0,00:12:34
755,0.0,00:12:35
756,0.0,00:12:36
757,0.0,00:12:37
758,0.0,00:12:38
759,0.0,00:12:39
760,0.0,00:12:40
761,0.0,00:12:41
762,0.0,00:12:42
763,0.0,00:12:43
764,0.0,00:12:44
765,0.0,00:12:45
766,0.0,00:12:46
767,0.0,00:12:47
768,0.0,00:12:48
769,0.0,00:12:49
770,0.0,00:12:50
771,0.0,00:12:51
772,0.0,00:12:52
773,0.0,00:12:53
774,0.0,00:12:54
775,0.0,00:12:55
776,0.0,00:12:56
777,0.0,00:12:57
778,0.0,00:12:58
779,0.0,00:12:59
780,0.0,00:13:00
781,0.0,00:13:01
782,0.0,00:13:02
783,0.0,00:13:03
784,0.0,00:13:04
785,0.0,00:13:05
786,0.0,00:13:06
787,0.0,00:13:07
788,0.0,00:13:08
789,0.0,00:13:09
790,0.0,00:13:10
791,0.0,00:13:11
792,0.0,00:13:12
793,0.0,00:13:13
794,0.0,00:13:14
795,0.0,00:13:15
796,0.0,00:13:16
797,0.0,00:13:17
798,0.0,00:13:18
799,0.0,00:13:19
800,0.0,00:13:20
801,0.0,00:13:21
802,0.0,00:13:22
803,0.0,00:13:23
804,0.0,00:13:24
805,0.0,00:13:25
806,0.0,00:13:26
807,0.0,00:13:27
808,0.0,00:13:28
809,0.0,00:13:29
810,0.0,00:13:30
811,0.0,00:13:31
812,0.0,00:13:32
813,0.0,00:13:33
814,0.0,00:13:34
815,0.0,00:13:35
816,0.0,00:13:36
817,0.0,00:13:37
818,0.0,00:13:38
819,0.0,00:13:39
820,0.0,00:13:40
821,0.0,00:13:41
822,0.0,00:13:42
823,0.0,00:13:43
824,0.0,00:13:44
825,0.0,00:13:45
826,0.0,00:13:46
827,0.0,00:13:47
828,0.0,00:13:48
829,0.0,00:13:49
830,0.0,00:13:50
831,0.0,00:13:51
832,0.0,00:13:52
833,0.0,00:13:53
834,0.0,00:13:54
835,0.0,00:13:55
836,0.0,00:13:56
837,0.0,00:13:57
838,0.0,00:13:58
839,0.0,00:13:59
840,0.0,00:14:00
841,0.0,00:14:01
842,0.0,00:14:02
843,0.0,00:14:03
844,0.0,00:14:04
845,0.0,00:14:05
846,0.0,00:14:06
847,0.0,00:14:07
848,0.0,00:14:08
849,0.0,00:14:09
850,0.0,00:14:10
851,0.0,00:14:11
852,0.0,00:14:12
853,0.0,00:14:13
854,0.0,00:14:14
855,0.0,00:14:15
856,0.0,00:14:16
857,0.0,00:14:17
858,0.0,00:14:18
859,0.0,00:14:19
860,0.0,00:14:20
861,0.0,00:14:21
862,0.0,00:14:22
863,0.0,00:14:23
864,0.0,00:14:24
865,0.0,00:14:25
866,0.0,00:14:26
867,0.0,00:14:27
868,0.0,00:14:28
869,0.0,00:14:29
870,0.0,00:14:30
871,0.0,00:14:31
872,0.0,00:14:32
873,0.0,00:14:33
874,0.0,00:14:34
875,0.0,00:14:35
876,0.0,00:14:36
877,0.0,00:14:37
878,0.0,00:14:38
879,0.0,00:14:39
880,0.0,00:14:40
881,0.0,00:14:41
882,0.0,00:14:42
883,0.0,00:14:43
884,0.0,00:14:44
885,0.0,00:14:45
886,0.0,00:14:46
887,0.0,00:14:47
888,0.0,00:14:48
889,0.0,00:14:49
890,0.0,00:14:50
891,0.0,00:14:51
892,0.0,00:14:52
893,0.0,00:14:53
894,0.0,00:14:54
895,0.0,00:14:55
896,0.0,00:14:56
897,0.0,00:14:57
898,0.0,00:14:58
899,0.0,00:14:59
900,0.0,00:15:00
901,0.0,00:15:01
902,0.0,00:15:02
903,0.0,00:15:03
904,0.0,00:15:04
905,0.0,00:15:05
906,0.0,00:15:06
907,0.0,00:15:07
908,0.0,00:15:08
909,0.0,00:15:09
910,0.0,00:15:10
911,0.0,00:15:11
912,0.0,00:15:12
913,0.0,00:15:13
914,0.0,00:15:14
915,0.0,00:15:15
916,0.0,00:15:16
917,0.0,00:15:17
918,0.0,00:15:18
919,0.0,00:15:19
920,0.0,00:15:20
921,0.0,00:15:21
922,0.0,00:15:22
923,0.0,00:15:23
924,0.0,00:15:24
925,0.0,00:15:25
926,0.0,00:15:26
927,0.0,00:15:27
928,0.0,00:15:28
929,0.0,00:15:29
930,0.0,00:15:30
931,0.0,00:15:31
932,0.0,00:15:32
933,0.0,00:15:33
934,0.0,00:15:34
935,0.0,00:15:35
936,0.0,00:15:36
937,0.0,00:15:37
938,0.0,00:15:38
939,0.0,00:15:39
940,0.0,00:15:40
941,0.0,00:15:41
942,0.0,00:15:42
943,0.0,00:15:43
944,0.0,00:15:44
945,0.0,00:15:45
946,0.0,00:15:46
947,0.0,00:15:47
948,0.0,00:15:48
949,0.0,00:15:49
950,0.0,00:15:50
951,0.0,00:15:51
952,0.0,00:15:52
953,0.0,00:15:53
954,0.0,00:15:54
955,0.0,00:15:55
956,0.0,00:15:56
957,0.0,00:15:57
958,0.0,00:15:58
959,0.0,00:15:59
960,0.0,00:16:00
961,0.0,00:16:01
962,0.0,00:16:02
963,0.0,00:16:03
964,0.0,00:16:04
965,0.0,00:16:05
966,0.0,00:16:06
967,0.0,00:16:07
968,0.0,00:16:08
969,0.0,00:16:09
970,0.0,00:16:10
971,0.0,00:16:11
972,0.0,00:16:12
973,0.0,00:16:13
974,0.0,00:16:14
975,0.0,00:16:15
976,0.0,00:16:16
977,0.0,00:16:17
978,0.0,00:16:18
979,0.0,00:16:19
980,0.0,00:16:20
981,0.0,00:16:21
982,0.0,00:16:22
983,0.0,00:16:23
984,0.0,00:16:24
985,0.0,00:16:25
986,0.0,00:16:26
987,0.0,00:16:27
988,0.0,00:16:28
989,0.0,00:16:29
990,0.0,00:16:30
991,0.0,00:16:31
992,0.0,00:16:32
993,0.0,00:16:33
994,0.0,00:16:34
995,0.0,00:16:35
996,0.0,00:16:36
997,0.0,00:16:37
998,0.0,00:16:38
999,0.0,00:16:39
1000,0.0,00:16:40
1001,0.0,00:16:41
1002,0.0,00:16:42
1003,0.0,00:16:43
1004,0.0,00:16:44
1005,0.0,00:16:45
1006,0.0,00:16:46
1007,0.0,00:16:47
1008,0.0,00:16:48
1009,0.0,00:16:49
1010,0.0,00:16:50
1011,0.0,00:16:51
1012,0.0,00:16:52
1013,0.0,00:16:53
1014,0.0,00:16:54
1015,0.0,00:16:55
1016,0.0,00:16:56
1017,0.0,00:16:57
1018,0.0,00:16:58
1019,0.0,00:16:59
1020,0.0,00:17:00
1021,0.0,00:17:01
1022,0.0,00:17:02
1023,0.0,00:17:03
1024,0.0,00:17:04
1025,0.0,00:17:05
1026,0.0,00:17:06
1027,0.0,00:17:07
1028,0.0,00:17:08
1029,0.0,00:17:09
1030,0.0,00:17:10
1031,0.0,00:17:11
1032,0.0,00:17:12
1033,0.0,00:17:13
1034,0.0,00:17:14
1035,0.0,00:17:15
1036,0.0,00:17:16
1037,0.0,00:17:17
1038,0.0,00:17:18
1039,0.0,00:17:19
1040,0.0,00:17:20
1041,0.0,00:17:21
1042,0.0,00:17:22
1043,0.0,00:17:23
1044,0.0,00:17:24
1045,0.0,00:17:25
1046,0.0,00:17:26
1047,0.0,00:17:27
1048,0.0,00:17:28
1049,0.0,00:17:29
1050,0.0,00:17:30
1051,0.0,00:17:31
1052,0.0,00:17:32
1053,0.0,00:17:33
1054,0.0,00:17:34
1055,0.0,00:17:35
1056,0.0,00:17:36
1057,0.0,00:17:37
1058,0.0,00:17:38
1059,0.0,00:17:39
1060,0.0,00:17:40
1061,0.0,00:17:41
1062,0.0,00:17:42
1063,0.0,00:17:43
1064,0.0,00:17:44
1065,0.0,00:17:45
1066,0.0,00:17:46
1067,0.0,00:17:47
1068,0.0,00:17:48
1069,0.0,00:17:49
1070,0.0,00:17:50
1071,0.0,00:17:51
1072,0.0,00:17:52
1073,0.0,00:17:53
1074,0.0,00:17:54
1075,0.0,00:17:55
1076,0.0,00:17:56
1077,0.0,00:17:57
1078,0.0,00:17:58
1079,0.0,00:17:59
1080,0.0,00:18:00
1081,0.0,00:18:01
1082,0.0,00:18:02
1083,0.0,00:18:03
1084,0.0,00:18:04
1085,0.0,00:18:05
1086,0.0,00:18:06
1087,0.0,00:18:07
1088,0.0,00:18:08
1089,0.0,00:18:09
1090,0.0,00:18:10
1091,0.0,00:18:11
1092,0.0,00:18:12
1093,0.0,00:18:13
1094,0.0,00:18:14
1095,0.0,00:18:15
1096,0.0,00:18:16
1097,0.0,00:18:17
1098,0.0,00:18:18
1099,0.0,00:18:19
1100,0.0,00:18:20
1101,0.0,00:18:21
1102,0.0,00:18:22
1103,0.0,00:18:23
1104,0.0,00:18:24
1105,0.0,00:18:25
1106,0.0,00:18:26
1107,0.0,00:18:27
1108,0.0,00:18:28
1109,0.0,00:18:29
1110,0.0,00:18:30
1111,0.0,00:18:31
1112,0.0,00:18:32
1113,0.0,00:18:33
1114,0.0,00:18:34
1115,0.0,00:18:35
1116,0.0,00:18:36
1117,0.0,00:18:37
1118,0.0,00:18:38
1119,0.0,00:18:39
1120,0.0,00:18:40
1121,0.0,00:18:41
1122,0.0,00:18:42
1123,0.0,00:18:43
1124,0.0,00:18:44
1125,0.0,00:18:45
1126,0.0,00:18:46
1127,0.0,00:18:47
1128,0.0,00:18:48
1129,0.0,00:18:49
1130,0.0,00:18:50
1131,0.0,00:18:51
1132,0.0,00:18:52
1133,0.0,00:18:53
1134,0.0,00:18:54
1135,0.0,00:18:55
1136,0.0,00:18:56
1137,0.0,00:18:57
1138,0.0,00:18:58
1139,0.0,00:18:59
1140,0.0,00:19:00
1141,0.0,00:19:01
1142,0.0,00:19:02
1143,0.0,00:19:03
1144,0.0,00:19:04
1145,0.0,00:19:05
1146,0.0,00:19:06
1147,0.0,00:19:07
1148,0.0,00:19:08
1149,0.0,00:19:09
